"_id";"_labels";"MGLT";"average_height";"average_lifespan";"birth_year";"cargo_capacity";"classification";"climate";"consumables";"cost_in_credits";"created";"crew";"designation";"diameter";"director";"edited";"episode_id";"eye_color";"eye_colors";"gender";"gravity";"hair_color";"hair_colors";"height";"hyperdrive_rating";"language";"length";"manufacturer";"mass";"max_atmosphering_speed";"model";"name";"opening_crawl";"orbital_period";"passengers";"population";"producer";"release_date";"rotation_period";"skin_color";"skin_colors";"starship_class";"surface_water";"synth1";"terrain";"title";"updated";"url";"vehicle_class";"_start";"_end";"_type"
"804";":Film";"";"";"";"";"";"";"";"";"";"2014-12-10T14:23:31.880000Z";"";"";"";"George Lucas";"2015-04-11T09:46:52.774897Z";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"It is a period of civil war....";"";"";"";"Gary Kurtz, Rick McCallum";"1977-05-25";"";"";"";"";"";"1";"";"A New Hope";"false";"http://swapi.co/api/films/1/";"",,,,,
"805";":Film";"";"";"";"";"";"";"";"";"";"2014-12-20T10:57:57.886000Z";"";"";"";"George Lucas";"2015-04-11T09:45:01.623982Z";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"There is unrest in the Galactic....";"";"";"";"Rick McCallum";"2002-05-16";"";"";"";"";"";"1";"";"Attack of the Clones";"false";"http://swapi.co/api/films/5/";"",,,,,
"806";":Film";"";"";"";"";"";"";"";"";"";"2014-12-19T16:52:55.740000Z";"";"";"";"George Lucas";"2015-04-11T09:45:18.689301Z";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Turmoil has engulfed the....";"";"";"";"Rick McCallum";"1999-05-19";"";"";"";"";"";"1";"";"The Phantom Menace";"false";"http://swapi.co/api/films/4/";"",,,,,
"807";":Film";"";"";"";"";"";"";"";"";"";"2014-12-20T18:49:38.403000Z";"";"";"";"George Lucas";"2015-04-11T09:45:44.862122Z";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"War! The Republic is crumbling....";"";"";"";"Rick McCallum";"2005-05-19";"";"";"";"";"";"1";"";"Revenge of the Sith";"false";"http://swapi.co/api/films/6/";"",,,,,
"808";":Film";"";"";"";"";"";"";"";"";"";"2014-12-18T10:39:33.255000Z";"";"";"";"Richard Marquand";"2015-04-11T09:46:05.220365Z";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Luke Skywalker has returned to...";"";"";"";"Howard G. Kazanjian, George Lucas, Rick McCallum";"1983-05-25";"";"";"";"";"";"1";"";"Return of the Jedi";"false";"http://swapi.co/api/films/3/";"",,,,,
"809";":Film";"";"";"";"";"";"";"";"";"";"2014-12-12T11:26:24.656000Z";"";"";"";"Irvin Kershner";"2015-04-11T09:46:31.433607Z";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"It is a dark time for the";"";"";"";"Gary Kutz, Rick McCallum";"1980-05-17";"";"";"";"";"";"1";"";"The Empire Strikes Back";"false";"http://swapi.co/api/films/2/";"",,,,,
"810";":Film";"";"";"";"";"";"";"";"";"";"2015-04-17T06:51:30.504780Z";"";"";"";"J. J. Abrams";"2015-12-17T14:31:47.617768Z";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Luke Skywalker has vanished....";"";"";"";"Kathleen Kennedy, J. J. Abrams, Bryan Burk";"2015-12-11";"";"";"";"";"";"1";"";"The Force Awakens";"false";"http://swapi.co/api/films/7/";"",,,,,
"811";":Character";"";"";"";"19BBY";"";"";"";"";"";"2014-12-09T13:50:51.644000Z";"";"";"";"";"2014-12-20T21:17:56.891000Z";"";"blue";"";"male";"";"blond";"";"172";"";"";"";"";"77";"";"";"Luke Skywalker";"";"";"";"";"";"";"";"fair";"";"";"";"1";"";"";"false";"http://swapi.co/api/people/1/";"",,,,,
"812";":Character";"";"";"";"112BBY";"";"";"";"";"";"2014-12-10T15:10:51.357000Z";"";"";"";"";"2014-12-20T21:17:50.309000Z";"";"yellow";"";"n/a";"";"n/a";"";"167";"";"";"";"";"75";"";"";"C-3PO";"";"";"";"";"";"";"";"gold";"";"";"";"1";"";"";"false";"http://swapi.co/api/people/2/";"",,,,,
"813";":Character";"";"";"";"33BBY";"";"";"";"";"";"2014-12-10T15:11:50.376000Z";"";"";"";"";"2014-12-20T21:17:50.311000Z";"";"red";"";"n/a";"";"n/a";"";"96";"";"";"";"";"32";"";"";"R2-D2";"";"";"";"";"";"";"";"white, blue";"";"";"";"1";"";"";"false";"http://swapi.co/api/people/3/";"",,,,,
"814";":Character";"";"";"";"41.9BBY";"";"";"";"";"";"2014-12-10T15:18:20.704000Z";"";"";"";"";"2014-12-20T21:17:50.313000Z";"";"yellow";"";"male";"";"none";"";"202";"";"";"";"";"136";"";"";"Darth Vader";"";"";"";"";"";"";"";"white";"";"";"";"1";"";"";"false";"http://swapi.co/api/people/4/";"",,,,,
